game_token,round_number,actual_lat,actual_lng,actual_heading,actual_pitch,actual_zoom,actual_panoId,country_code,guessed_lat,guessed_lng,score,distance_km,time_spent_sec,player_id,team_name,health_before,health_after,multiplier,damage_multiplier,location
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,1,22.832331828286343,92.08990821539572,108.0140969188275,5.393496024986533,0,39525754794435675530684B57466B46315F634E5341,bd,23.84802058061654,90.55758094488809,4485,192.9477315057413,6.355,630ba708510e022a3194e925,blue,6000,5927,1.0,1.0,"Z2043, কাঞ্চন, রূপগঞ্জ উপজেলা, নারায়নগঞ্জ জেলা, ঢাকা বিভাগ, 1720, বাংলাদেশ"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,2,25.21740061924097,121.6041115099183,326.240122802135,-1.4341868350008298,0,59612D774B3739576756376666686975367A44673741,tw,24.018588501709218,120.91576964368963,4594,150.3691366045956,15.688,630ba708510e022a3194e925,blue,5927,5893,1.0,1.0,"投73-1, 坑内, 合成里, 埔里鎮, 南投縣, 54544, 臺灣"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,3,59.3777527828587,17.89665290687435,211.11566314981064,-1.4636446533916685,0,4F4D425332502D69474F61326767576F655946676D51,se,59.53821616460442,15.339816490555656,4606,145.5647624499135,5.037,630ba708510e022a3194e925,blue,5893,5893,1.0,1.0,"Sunnankärr, Lindesbergs kommun, Örebro län, 711 72, Sverige"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,4,54.76814923198643,56.06372716161216,267.04349111455934,11.061880376234967,0,796B544E36475F32453644627648636371694C6B4E41,ru,50.45744404671168,30.53219036077832,1835,1778.094667179394,21.69,630ba708510e022a3194e925,blue,5893,5893,1.0,1.0,"Набережне шосе, Урядовий квартал, Аскольдова Могила, Клов, Подільський район, Київ, 01008, Україна"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,5,-12.231813841399791,-75.63226356805679,338.5111826576786,4.827926889814435,0,78455A546C6F4846744D323776793662566A67573477,pe,-14.092913017442791,-75.76022954206954,4448,207.4080413667023,20.647,630ba708510e022a3194e925,blue,5893,5893,1.5,1.5,"Avenida Huacachina, Urbanización Los Ficus de Huacachina, El Alto de Comatrana, Comatrana, Ica, 11004, Perú"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,1,22.832331828286343,92.08990821539572,108.0140969188275,5.393496024986533,0,39525754794435675530684B57466B46315F634E5341,bd,23.529329580604713,90.67255368999274,4558,164.3045571356285,16.515,62e301910f5c9fbb58f498df,red,6000,6000,1.0,1.0,"গজারিয়া উপজেলা, মুন্সিগঞ্জ জেলা, ঢাকা বিভাগ, 1510, বাংলাদেশ"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,2,25.21740061924097,121.6041115099183,326.240122802135,-1.4341868350008298,0,59612D774B3739576756376666686975367A44673741,tw,24.060737160344793,121.1283490489081,4628,137.3096941576611,17.552,62e301910f5c9fbb58f498df,red,6000,6000,1.0,1.0,"清境農場, 仁愛鄉, 南投縣, 546, 臺灣"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,3,59.3777527828587,17.89665290687435,211.11566314981064,-1.4636446533916685,0,4F4D425332502D69474F61326767576F655946676D51,se,58.86240431707305,15.237643787551288,4563,162.1943603531538,12.354,62e301910f5c9fbb58f498df,red,6000,5957,1.0,1.0,"Tillefärd, Askersunds kommun, Örebro län, Sverige"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,4,54.76814923198643,56.06372716161216,267.04349111455934,11.061880376234967,0,796B544E36475F32453644627648636371694C6B4E41,ru,44.13473751752872,21.011901601566564,1056,2758.2673710821214,32.596,62e301910f5c9fbb58f498df,red,5957,5178,1.0,1.0,"22, Учитеља Јове Миленковића, Бадњевац, Општина Баточина, Шумадијски управни округ, Централна Србија, Србија"
1c31db4f-675f-4b3d-a36b-cfdef99f2f4b,5,-12.231813841399791,-75.63226356805679,338.5111826576786,4.827926889814435,0,78455A546C6F4846744D323776793662566A67573477,pe,25.17867118236588,77.12129434325321,0,16814.511346254272,32.682,62e301910f5c9fbb58f498df,red,5178,0,1.5,1.5,"Mamoni, Shahbad Tehsil, Baran, Rajasthan, India"
